"FiscalYear","Provider","Borough","TotalSlots","TotalParticipants"
"2021","Casita Maria, Inc.","Bronx","157","129"
"2021","BronxWorks, Inc.","Bronx","75","82"
"2021","Ali Forney Center","Brooklyn","N/A","N/A"
"2021","Asian Americans for Equality Inc","Queens","50","56"
"2021","Good Shepherd Services","Brooklyn","145","146"
"2021","Art Start, Inc","Bronx","18","21"
"2021","New York Edge, Inc.","Brooklyn","75","81"
"2021","New York Edge, Inc.","Brooklyn","45","8"
"2021","Sapna NYC","Bronx","N/A","N/A"
"2021","Ariva Inc.","Bronx","N/A","N/A"
"2021","Under 21","Manhattan","N/A","N/A"
"2021","HANAC INC","Bronx","N/A","N/A"
"2021","HANAC INC","Queens","N/A","N/A"
"2021","Bronx Parent Housing Network, Inc.","Bronx","N/A","N/A"
"2021","Central City Chorus,","Manhattan","N/A","N/A"
"2021","Meals on Wheels of Staten Island, Inc.","Staten Island","N/A","N/A"
"2021","Bergen Basin Community Development Corporation","Brooklyn","N/A","N/A"
"2021","Read Alliance, Inc.","Bronx","N/A","N/A"
"2021","Bottomless Closet","Manhattan","N/A","N/A"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","350","201"
"2021","NIA Community Services Network Inc","Brooklyn","157","115"
"2021","The B.E..L.L. Foundation, Inc.","Queens","151","152"
"2021","Hudson Guild","Manhattan","30","32"
"2021","Sheltering Arms Children and Family Services, Inc.","Brooklyn","100","114"
"2021","The Committee for Hispanic Children and Families, Inc.","Bronx","100","106"
"2021","Coalition for Hispanic Family Services","Queens","157","177"
"2021","Metropolitan New York Coordinating Council on Jewish Poverty","Manhattan","N/A","N/A"
"2021","The New York Immigration Coalition Inc","Manhattan","N/A","N/A"
"2021","SCAN-HARBOR INC","Bronx","90","102"
"2021","Phipps Neighborhoods, Inc.","Bronx","N/A","N/A"
"2021","Global Kids, Inc.","Queens","N/A","N/A"
"2021","ST. NICKS ALLIANCE CORP.","Brooklyn","157","179"
"2021","Chinatown Manpower Project, Inc.","Manhattan","N/A","N/A"
"2021","United Activities Unlimited, Inc.","Bronx","N/A","N/A"
"2021","Teens for Food Justice, Inc.","Brooklyn","N/A","N/A"
"2021","Global Kids, Inc.","Manhattan","50","11"
"2021","Make the Road New York","Staten Island","120","132"
"2021","Second Chance Agape Worship Center","Queens","N/A","N/A"
"2021","The Children's Aid Society","Manhattan","N/A","N/A"
"2021","SCAN-HARBOR INC","Manhattan","229","32"
"2021","South Bronx Overall Economic Development Corporation","Bronx","N/A","N/A"
"2021","Police Athletic League, Inc.","Staten Island","90","48"
"2021","Partnership With Children, Inc.","Queens","50","50"
"2021","Roads to Success, Inc","Manhattan","125","137"
"2021","Flatbush Development Corporation","Brooklyn","140","155"
"2021","New York City H2O, Inc.","Manhattan","N/A","N/A"
"2021","Union Settlement Association Inc","Manhattan","116","73"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","136","206"
"2021","Simon Wiesenthal Center Inc","Outside of NYC","N/A","N/A"
"2021","Good Shepherd Services","Brooklyn","60","40"
"2021","Queens Community House, Inc.","Queens","N/A","N/A"
"2021","Quest Youth Organization, Inc.","Brooklyn","N/A","N/A"
"2021","Diaspora Community Services Inc","Brooklyn","N/A","N/A"
"2021","CEC Stuyvesant Cove, Inc.","Manhattan","N/A","N/A"
"2021","Purelements: An Evolution in Dance Inc","Brooklyn","90","221"
"2021","Global Kids, Inc.","Bronx","N/A","N/A"
"2021","NIA Community Services Network Inc","Brooklyn","300","141"
"2021","The Greater Ridgewood Youth Council, Inc.","Queens","75","100"
"2021","Samuel Field YM & YWHA, Inc.","Queens","100","125"
"2021","The Children's Aid Society","Manhattan","120","77"
"2021","Bergen Basin Community Development Corporation","Brooklyn","80","0"
"2021","YMCA of Greater New York/Cross Island","Queens","150","161"
"2021","Partnership With Children, Inc.","Manhattan","100","58"
"2021","Police Athletic League, Inc.","Bronx","50","75"
"2021","Good Shepherd Services","Bronx","157","123"
"2021","The Center for Architecture Inc","Manhattan","N/A","N/A"
"2021","Green City Force","Bronx","N/A","N/A"
"2021","CAMBA, Inc.","Brooklyn","N/A","N/A"
"2021","Good Shepherd Services","Bronx","100","106"
"2021","New York Junior Tennis League Inc","Brooklyn","100","108"
"2021","Samuel Field YM & YWHA, Inc.","Queens","75","100"
"2021","Samuel Field YM & YWHA, Inc.","Queens","130","131"
"2021","ComuniLife, Inc.","Brooklyn","N/A","N/A"
"2021","Catholic Charities Neighborhood Services, Inc.","Brooklyn","N/A","N/A"
"2021","The Child Center of NY Inc","Queens","164","53"
"2021","The Children's Aid Society","Bronx","150","156"
"2021","New York Edge, Inc.","Bronx","100","101"
"2021","Grand Street Settlement, Inc.","Brooklyn","N/A","N/A"
"2021","ASSOC OF COMMUNITY EMPLOYMENT PGRMS FOR THE HOMELESS INC","Queens","N/A","N/A"
"2021","Dyker Heights Athletic Association Inc.","Brooklyn","N/A","N/A"
"2021","The Children's Aid Society","Staten Island","N/A","N/A"
"2021","Opportunities for a Better Tomorrow Inc","Brooklyn","N/A","N/A"
"2021","Neighborhood Initiatives Development Corporation","Bronx","157","188"
"2021","United States WallBall Assocaiton, Inc.","Queens","N/A","N/A"
"2021","The Children's Aid Society","Manhattan","64","65"
"2021","Mosholu Montefiore Community Center, Inc.","Bronx","133","134"
"2021","The Children's Aid Society","Manhattan","100","112"
"2021","Jewish Community Council of Greater Coney Island, Inc.","Bronx","238","243"
"2021","C C M S","Brooklyn","N/A","N/A"
"2021","Woodhaven District Management Association, Inc.","Queens","N/A","N/A"
"2021","I AM GYM FOUNDATION INC.","Brooklyn","N/A","N/A"
"2021","YMCA of Greater New York/Bedford Stuyvesant","Brooklyn","100","69"
"2021","Henry Street Settlement","Manhattan","160","126"
"2021","Boys and Girls Club of Harlem, Inc.","Manhattan","50","17"
"2021","Bridge The Gap Youth, Inc.","Brooklyn","N/A","N/A"
"2021","The Children's Aid Society","Bronx","N/A","N/A"
"2021","Research Foundation of CUNY","Brooklyn","N/A","N/A"
"2021","Chinese-American Planning Council Inc","Manhattan","33","61"
"2021","Southern Queens Park Association,Inc.","Queens","158","21"
"2021","The Lower Eastside Girls Club of New York Inc","Manhattan","17","10"
"2021","The Ansob Center For Refugees, Inc","Queens","N/A","N/A"
"2021","Brooklyn Bureau of Community Service","Brooklyn","N/A","N/A"
"2021","Southeast Bronx Neighborhood Centers Inc","Bronx","N/A","N/A"
"2021","Sunnyside Community Services Inc","Queens","N/A","N/A"
"2021","Childrens Arts & Science Workshops, Inc.","Bronx","60","75"
"2021","Samuel Field YM & YWHA, Inc.","Queens","45","50"
"2021","Research Foundation of CUNY","Brooklyn","300","23"
"2021","New Alternatives for Children, Inc","Manhattan","N/A","N/A"
"2021","Good Shepherd Services","Bronx","75","39"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","82","114"
"2021","El Puente De Williamsburg, Inc.","Brooklyn","30","26"
"2021","New York City Alliance Against Sexual Assault","Manhattan","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","171","258"
"2021","RAJE-USA, Inc.","Brooklyn","N/A","N/A"
"2021","Council of Jewish Organizations of Flatbush Inc","Brooklyn","220","125"
"2021","SCAN-HARBOR INC","Manhattan","300","44"
"2021","Center for the Women of New York","Queens","N/A","N/A"
"2021","Coalition for Hispanic Family Services","Queens","120","162"
"2021","Kingsbridge Heights Community Center Inc","Bronx","201","143"
"2021","YMCA of Greater New York/Greenpoint","Brooklyn","60","45"
"2021","Yeshivath Kehilath Yakov, Inc.","Brooklyn","100","102"
"2021","New York Edge, Inc.","Brooklyn","101","114"
